time,regd,power,heatflow,pressure
-180,1,1.00000001447924,1.6866653236463,0
-179.975,1,1.00000000913954,1.68666535741473,-1.05297348618194e-08
-179.95,1,0.999999984532839,1.68666538903506,-5.77973623544503e-08
-179.924093338552,1,0.999999897713057,1.68666541555871,-1.68284653143114e-07
-179.894771922135,1,0.999999611763811,1.68666543111551,-3.83254467911653e-07
-179.861135899654,1,0.999998786145968,1.68666541919656,-7.54916264583683e-07
-179.820480784422,1,0.999996528565513,1.68666534414168,-1.38167644321563e-06
-179.758688210376,1,0.999988690130764,1.68666505586289,-2.68380345942731e-06
-179.706374581546,1,0.999975957650344,1.68666460258555,-4.08335537424587e-06
-179.658579717496,1,0.999957970901526,1.6866639883996,-5.5723060505275e-06
-179.609844802492,1,0.999932348875487,1.68666314096897,-7.2738686907603e-06
-179.559619808633,1,0.99989755353081,1.686662012744,-9.1991301864186e-06
-179.507587839665,1,0.999852228943176,1.68666055187484,-1.13558297863275e-05
-179.453331900398,1,0.999795149788972,1.6866586947167,-1.37590500484397e-05
-179.396062290332,1,0.999724980806352,1.68665634911226,-1.64449567167241e-05
-179.334086841767,1,0.99963955904785,1.6866533509452,-1.95010001482337e-05
-179.262605178743,1,0.999532708150143,1.68664928610888,-2.31904332585187e-05
-179.191998431771,1,0.999423838168441,1.68664462478626,-2.69808152095902e-05
-179.128620427682,1,0.999328487824674,1.68663989174383,-3.04873141402234e-05
-179.067981980331,1,0.999243868926404,1.68663487896809,-3.39206618827637e-05
-179.008813011176,1,0.999171380262884,1.68662953518169,-3.73342560438528e-05
-178.950109800318,1,0.999112579470802,1.68662379750085,-4.07743478886835e-05
-178.890514841808,1,0.999068968400207,1.68661753582022,-4.4313597781398e-05
-178.828568391661,1,0.999042896462533,1.68661056991924,-4.80356053033232e-05
-178.761959572905,1,0.999037985146856,1.6866025723806,-5.20796683832758e-05
-178.690679159783,1,0.999058990153202,1.68659344840162,-5.64481104891879e-05
-178.627782118217,1,0.999098260189258,1.68658492748113,-6.03323696062585e-05
-178.568841421429,1,0.999150021478876,1.68657655600624,-6.3993731574008e-05
-178.511079245752,1,0.999211576151926,1.68656800123012,-6.75992019937149e-05
-178.453025782907,1,0.999280500990127,1.68655906564185,-7.12377856186969e-05
-178.393326597124,1,0.99935442340413,1.68654953664519,-7.49930052121872e-05
-178.33002598287,1,0.999431050201117,1.6865390711104,-7.89876120126654e-05
-178.259740329898,1,0.999507638108405,1.68652703403955,-8.34362062279576e-05
-178.179913258691,1,0.999575850221051,1.68651285865519,-8.85028102526886e-05
-178.109298066396,1,0.999613904036823,1.68649989729309,-9.2995142040031e-05
-178.04830246353,1,0.999627361612888,1.68648840108144,-9.68820905131451e-05
-178,1,0.999624700393316,1.68647910970898,-9.99638939847974e-05
-177.973297285617,1,0.999618228587683,1.68647390482355,-0.000101667826168411
-177.946594571234,1,0.999608308865802,1.68646865108925,-0.000103367495073517
-177.914876632094,1,0.999592233139334,1.68646234370251,-0.000105376948017169
-177.879035224387,1,0.999568800856582,1.68645512172023,-0.000107632830610979
-177.836708656551,1,0.99953459787961,1.68644645112124,-0.000110275668455562
-177.782573088351,1,0.999482054051292,1.6864351143899,-0.000113623490703069
-177.725212272158,1,0.999418095678384,1.68642277066968,-0.000117134561361337
-177.667851455965,1,0.999348744209344,1.68641005898826,-0.000120612735274084
-177.612793701164,1,0.999280236403846,1.68639749210624,-0.000123924236689679
-177.557882003038,1,0.999213033399655,1.6863845882617,-0.000127203971615975
-177.502508260922,1,0.999149263993547,1.68637119215067,-0.000130491036016478
-177.44735401321,1,0.999092311613405,1.68635746072682,-0.000133747439374873
-177.391588217541,1,0.999043601706409,1.68634318076171,-0.000137024372337605
-177.334053672029,1,0.999004525374196,1.68632803100921,-0.000140390973498716
-177.273006374392,1,0.998976875977811,1.68631149734344,-0.000143949416928094
-177.204562524596,1,0.998963615952135,1.68629240740454,-0.000147924642792369
-177.134073322716,1,0.99896930976633,1.68627215013627,-0.000152005224682311
-177.072945693893,1,0.998988997799101,1.68625410717201,-0.000155534527927062
-177.015774635132,1,0.999018268535456,1.68623684488044,-0.000158828684930071
-176.959788529621,1,0.999055346888145,1.68621959002818,-0.00016204913317433
-176.903627277993,1,0.999098923011564,1.68620194560794,-0.000165274966173204
-176.846095520957,1,0.999147927046765,1.68618353599532,-0.000168575290643166
-176.785583611972,1,0.999201579816011,1.68616382352795,-0.000172042577878992
-176.718842531726,1,0.999259899233272,1.68614168760564,-0.000175862719252198
-176.635683029988,1,0.999325922237866,1.68611356347427,-0.000180617601547861
-176.560436073457,1,0.999374349005439,1.68608763364056,-0.000184916080763556
-176.499323518499,1,0.999402944675287,1.68606626330822,-0.000188404817086249
-176.442112629691,1,0.999419471402708,1.68604602293179,-0.000191669218765761
-176.385771460361,1,0.999425226309565,1.68602588431812,-0.00019488268793573
-176.328988565054,1,0.999420107134177,1.6860053962407,-0.000198120212644357
-176.270538737104,1,0.999403532971486,1.68598412174733,-0.000201451743954306
-176.208679778892,1,0.999374289091694,1.68596141997885,-0.000204976602503265
-176.139675598948,1,0.999329326587995,1.6859358927353,-0.000208907588399546
-176.062952464518,1,0.99926770839072,1.68590728898673,-0.000213277236761719
-176,1,0.999211653628899,1.685883669183,-0.000216861893382547
-175.976329066216,1,0.999190049570396,1.68587475705692,-0.000218214816679344
-175.952658132432,1,0.999168448157472,1.6858658289569,-0.000219594045034993
-175.92470865872,1,0.999143179424672,1.68585526573897,-0.000221277573900863
-175.893613136281,1,0.999115643794737,1.68584348420642,-0.000223235048022352
