time,in1,in2,cal_time
-180,0.498120846411557,0.418503986145496,0.2294013
-178,0.497814346940938,0.419101816579355,0.192183
-176,0.497089738438618,0.418940779528654,0.1981072
-174,0.496902646153289,0.419034069224485,0.1971612
-172,0.496857408830767,0.4190954283109,0.1839818
-170,0.496672573143383,0.418944786356615,0.1882714
-168,0.496636866702876,0.41893316316667,0.1874384
-166,0.496577036796483,0.41890916737197,0.1821212
-164,0.496497035553439,0.418873303967564,0.1836547
-162,0.496482530321348,0.418899771290738,0.1818323
-160,0.496465389299853,0.418912095611618,0.1800391
-158,0.496456037122335,0.418918959196541,0.1839382
-156,0.496460869127565,0.418929957888714,0.1829275
-154,0.496454908528081,0.418924943115233,0.184482
-152,0.496448560836687,0.418918211372746,0.1826829
-150,0.496444498830949,0.418914402257653,0.1825215
-148,0.496439622660454,0.418910736396238,0.1818171
-146,0.496438721755379,0.418911487565277,0.1800263
-144,0.496439834302985,0.418914075352148,0.1908802
-142,0.496440565866647,0.418915765817744,0.181619
-140,0.496441194204191,0.418916823317981,0.1845811
-138,0.496440832322759,0.418916539638204,0.1827539
-136,0.496439845203845,0.418915490749292,0.1829869
-134,0.496439148691423,0.418914736671556,0.1859689
-132,0.496438825200838,0.418914414201089,0.1838797
-130,0.496438929641551,0.418914568947125,0.1905679
-128,0.4964392801266,0.418914985665435,0.2035184
-126,0.49643952724219,0.418915286756019,0.1849761
-124,0.496439581308426,0.418915370957162,0.1906794
-122,0.496439475106684,0.418915273844708,0.1840011
-120,0.496439304288303,0.418915100424959,0.193477
-118,0.49643919494237,0.418914985874921,0.1867672
-116,0.496439179073845,0.418914967031762,0.1861384
-114,0.496439234823918,0.418915023648665,0.1882734
-112,0.496439301586372,0.418915092606258,0.2005916
-110,0.496439342119086,0.418915135619578,0.1955985
-108,0.496439337855632,0.418915132984882,0.1858155
-106,0.496439311303181,0.418915104555604,0.2085437
-104,0.496439280335467,0.418915074308487,0.1908993
-102,0.496439267639466,0.418915062075763,0.1866752
-100,0.496439269842064,0.418915064673226,0.186381
-98,0.496439282549697,0.418915076978288,0.1851821
-96,0.496439293873903,0.418915088629958,0.1843485
-94,0.496439287845252,0.418915082419488,0.186231
-92,0.496439294512349,0.418915089482966,0.2041573
-90,0.496439279636307,0.418915074671989,0.1985053
-88,0.496439284510987,0.418915079723948,0.1962738
-86,0.496439279943185,0.418915074963719,0.1849369
-84,0.496439285670614,0.418915080540964,0.187922
-82,0.496439286355793,0.418915081282516,0.1890971
-80,0.496439288468935,0.418915083314805,0.1868981
-78,0.496439284427638,0.418915079073916,0.1870844
-76,0.496439281958856,0.418915076379311,0.1867809
-74,0.49643927639267,0.418915070555555,0.1873556
-72,0.496439279690934,0.418915074186036,0.1906712
-70,0.496439275937721,0.418915070345443,0.1858823
-68,0.49643928041515,0.418915074675588,0.1872676
-66,0.496439281569636,0.418915076224128,0.188638
-64,0.496439282442295,0.418915077256725,0.1967857
-62,0.496439282534823,0.418915076818077,0.1851554
-60,0.496439277804852,0.418915071622979,0.1866682
-58,0.496439282631211,0.418915076969399,0.1975045
-56,0.49643927511726,0.418915069028651,0.2011357
-54,0.49643928095847,0.418915074470495,0.1898629
-52,0.496439271686614,0.41891506495857,0.1914798
-50,0.496439280350514,0.418915074294327,0.1855899
-48,0.496439277314842,0.418915071745083,0.1866516
-46,0.496439282537958,0.418915075385892,0.1832444
-44,0.49643928280575,0.418915076130054,0.1879768
-42,0.496439282974417,0.418915076665975,0.185779
