time,in1,in2,cal_time
-180,0.499190648909664,0.418540028665772,0.2410739
-178,0.499148962794203,0.418635643585565,0.2268405
-176,0.499086719098675,0.418691764087593,0.3075945
-174,0.499053020173026,0.418761195118204,0.2550925
-172,0.499028002992347,0.418827686428094,0.2125565
-170,0.498996449708981,0.418878472520539,0.2209139
-168,0.498973719761496,0.418930265054546,0.199736
-166,0.498951733751325,0.418975697987416,0.2209951
-164,0.498930411196351,0.419015179542489,0.1986505
-162,0.498914339228085,0.419053780634074,0.1954368
-160,0.498899924145104,0.419088440980807,0.2255501
-158,0.498887176329125,0.419119726074563,0.1925057
-156,0.498876313444341,0.419148386504096,0.2065589
-154,0.498865906858285,0.419173476127928,0.2014418
-152,0.498856354299139,0.419195816839616,0.2250476
-150,0.498847843636358,0.419215967474667,0.2012288
-148,0.49884016458022,0.419234045031106,0.2690093
-146,0.498833475645673,0.41925050022795,0.2318033
-144,0.498827606507981,0.419265425783057,0.1901208
-142,0.498822320090193,0.419278822119295,0.1950487
-140,0.49881754677319,0.419290833903003,0.2152476
-138,0.498813192232547,0.419301559744132,0.2070808
-136,0.498809231060216,0.419311147622213,0.2431923
-134,0.498805681355992,0.41931977130781,0.2114017
-132,0.498802516926099,0.419327544348977,0.1917938
-130,0.498799701591865,0.419334556046901,0.1955876
-128,0.498797189025274,0.419340872785673,0.1885901
-126,0.498794926982094,0.419346543544691,0.1958086
-124,0.498792881657942,0.419351625549052,0.1953695
-122,0.498791032881312,0.4193561803824,0.2091784
-120,0.498789367096097,0.419360267721541,0.1934614
-118,0.49878787355038,0.419363943510254,0.1914371
-116,0.498786537993855,0.41936725208388,0.1886581
-114,0.498785343979273,0.419370225845632,0.1899097
-112,0.498784273702334,0.419372896705775,0.1856859
-110,0.498783310145653,0.419375295014646,0.1883938
-108,0.498782442338957,0.41937744521455,0.1898448
-106,0.498781664234408,0.419379367466713,0.1949767
-104,0.498780959498675,0.419381105762322,0.1935802
-102,0.498780346490669,0.419382626296443,0.1875197
-100,0.49877977591934,0.419384033576477,0.1882405
-98,0.498779271317045,0.4193852903858,0.1901057
-96,0.498778810394576,0.419386428899171,0.1891961
-94,0.498778399773918,0.419387446374274,0.1919456
-92,0.498778029734474,0.419388363638489,0.1914309
-90,0.498777697218633,0.4193891869862,0.1854359
-88,0.498777399087677,0.419389926139315,0.190268
-86,0.498777149988336,0.419390546801487,0.1913951
-84,0.498776912520462,0.419391128976544,0.1895772
-82,0.498776698729696,0.419391660182409,0.1999162
-80,0.498776503432406,0.419392139411841,0.2191249
-78,0.49877632712612,0.419392573760442,0.1903056
-76,0.498776169009332,0.419392967930735,0.1893836
-74,0.498776025967402,0.419393324174606,0.1958047
-72,0.498775897021805,0.419393646127484,0.1897975
-70,0.498775782520772,0.419393932054092,0.1909968
-68,0.498775679722669,0.419394186794201,0.1923045
-66,0.498775587613289,0.419394414802854,0.1916606
-64,0.498775505116886,0.419394618576166,0.1917972
-62,0.498775431326678,0.419394800615148,0.1939099
-60,0.498775365567094,0.419394963338376,0.1908356
-58,0.498775306925731,0.419395108619556,0.1946463
-56,0.498775254603862,0.419395238254264,0.1891912
-54,0.498775207916842,0.419395353856532,0.1886377
-52,0.498775166235454,0.419395456841275,0.1939749
-50,0.498775129058422,0.419395548562473,0.1916433
-48,0.498775095934486,0.419395630254224,0.1922261
-46,0.498775066400175,0.419395703111295,0.2009504
-44,0.498775032035912,0.419395786574053,0.1964336
-42,0.498775012313863,0.419395838978114,0.1907169
-40,0.498774991723631,0.419395886966698,0.1879644
-38,0.498774965186749,0.419395953565378,0.1879674
-36,0.498774967635681,0.419395952941017,0.1879801
-34,0.498774948353926,0.419395989747272,0.1906272
-32,0.498774929637693,0.419396041630092,0.1942329
-30,0.498774932156508,0.419396032995705,0.191821
-28,0.498774932497559,0.419396026934207,0.1876882
-26,0.498774935218985,0.419396025889402,0.1910232
-24,0.498774934596869,0.419396021649164,0.1912768
-22,0.498774935359577,0.419396020032182,0.1882042
-20,0.498774935423885,0.419396017309286,0.1887661
-18,0.498774936682169,0.419396015874355,0.1903626
-16,0.498774937796079,0.419396013493366,0.190337
-14,0.49877493925197,0.419396011320027,0.1931316
-12,0.498774940306269,0.41939600862092,0.19084
-10,0.498772593448222,0.419393658382674,0.1919482
-8,0.498779242872238,0.419400390490002,0.1940215
-6,0.498773530573059,0.419394750561559,0.1863518
-4,0.498792885013003,0.419414167313445,0.1899849
-2,0.499262576283108,0.419883912810869,0.1910459
0,0.499286842525493,0.419908227140892,0.1887185
2,0.49880986798538,0.419431295869341,0.1885619
4,0.497657561885963,0.418279028941751,0.1887251
6,0.495115700213215,0.415737202717767,0.1888008
8,0.491918458673851,0.412539993155369,0.1933606
10,0.487941239830946,0.408562803067158,0.1934178
12,0.483209493709687,0.403831082756376,0.2010481
14,0.478170512433545,0.398792124637892,0.1912273
16,0.472674299151042,0.393295932140874,0.1901388
18,0.466934768146446,0.387556419803842,0.2104662
20,0.461090928096859,0.381712596527265,0.1927278
22,0.455084206873765,0.375705890377777,0.1940511
24,0.449056142208674,0.369677839258935,0.1970367
26,0.443647145104158,0.364268854326871,0.1963768
28,0.438567392843601,0.359189113003221,0.1946824
30,0.434074753797658,0.354696483783493,0.1972098
32,0.43029063202287,0.350912370836905,0.1935511
34,0.426958983542669,0.34758073028835,0.1958466
36,0.424223137384998,0.344844891256956,0.1931308
38,0.421721024154035,0.342342784428768,0.2174511
40,0.419934317418581,0.340556083446077,0.195976
42,0.418617781875546,0.339239553071782,0.1926748
44,0.41784283141711,0.33846460725734,0.1927775
46,0.417981657916636,0.338603437929376,0.1946405
48,0.418704971237336,0.339326754998963,0.1978861
50,0.420164339574438,0.340786126704338,0.1995433
52,0.421902904455961,0.342524694612165,0.1934324
54,0.423887634221578,0.344509427096838,0.1959015
56,0.426060804892112,0.346682600210376,0.1965366
58,0.428323780945912,0.348945578459152,0.1897086
60,0.431047207687769,0.351669007173139,0.1949176
62,0.434023807589798,0.354645608847074,0.1929108
64,0.437369919426723,0.357991722276011,0.1910846
66,0.440816573689862,0.361438377969529,0.2120636
68,0.443369399520405,0.363991205085231,0.1942007
70,0.446258051955261,0.366879858674765,0.198906
72,0.448792901096171,0.369414708853119,0.1954775
74,0.45171684006769,0.372338648756751,0.1943933
76,0.454745131536267,0.375366941062799,0.1897213
78,0.457444680617151,0.378066490896124,0.1951151
80,0.460146903797366,0.380768714752376,0.1899764
82,0.462756151903793,0.383377963466195,0.1905523
84,0.465353429774544,0.38597524188266,0.188779
86,0.467842638915568,0.388464451513981,0.1894015
88,0.470185361690899,0.390807174729817,0.1971336
90,0.472374002912418,0.392995816347102,0.1951297
92,0.474490926401129,0.395112740191381,0.1892243
94,0.476575178641736,0.397196992751434,0.1916867
96,0.479007250911216,0.399629065307904,0.1890333
98,0.481629932098322,0.40225174675284,0.1902882
100,0.484547990739599,0.405169805625746,0.1913047
102,0.487613368034654,0.408235183128891,0.1960966
104,0.490736154684105,0.411357969965283,0.1962605
106,0.493955350077521,0.414577165526641,0.1871327
108,0.497207968089576,0.417829783689568,0.186627
110,0.500501435767534,0.421123251503063,0.1945465
112,0.504088382000304,0.424710197857597,0.1891121
114,0.507817078797511,0.428438894764197,0.2011784
116,0.511748708947278,0.43237052501225,0.1903888
118,0.515808694375824,0.436430510529107,0.1916812
120,0.519976487353041,0.440598303585681,0.1890323
122,0.524233627007248,0.444855443311204,0.1890207
124,0.52858572801241,0.449207544380471,0.1908559
126,0.532960153415133,0.453581969840822,0.1901362
128,0.536767954692805,0.457389771170303,0.1873833
130,0.540327239006339,0.460949055530416,0.1897482
132,0.54351219326969,0.464134009835645,0.1869423
134,0.546382849977077,0.467004666580682,0.1896907
136,0.548977644106119,0.469599460743573,0.1869142
138,0.551373083946501,0.471994900614382,0.1886046
140,0.553544944944629,0.474166761639859,0.194472
142,0.555568356783973,0.476190173503782,0.1891552
144,0.557550685074844,0.47817250181674,0.1874144
146,0.55991313183551,0.480534948597251,0.1858166
148,0.562421748144537,0.483043564924108,0.1882119
150,0.56516011536853,0.485781932164119,0.1862043
152,0.568158008680054,0.48877982549003,0.2121299
154,0.571782646267511,0.492404463090405,0.1870793
156,0.575711794116918,0.496333610951407,0.1929484
158,0.580005865552009,0.500627682396906,0.1921822
160,0.584044320636442,0.504666137490679,0.1940961
162,0.588289508026881,0.5089113248895,0.1899006
164,0.592975515344137,0.513597332214274,0.1985865
166,0.597518373547705,0.518140190424587,0.2084539
168,0.602377141527362,0.522998958410292,0.2023973
170,0.607489221247059,0.52811103813541,0.1935717
172,0.613026737777508,0.53364855467072,0.2336369
174,0.618764886953009,0.539386703850566,0.1950015
176,0.624741249498595,0.545363066400036,0.1932347
178,0.631012549338267,0.551634366243172,0.1937761
180,0.637368971727555,0.557990788635543,0.1964069
182,0.64291500278738,0.563536819698106,0.1918406
184,0.648224801967559,0.568846618880707,0.187895
186,0.653412800459381,0.57403461737466,0.2308455
188,0.65783575955095,0.578457576468089,0.1918098
190,0.66182787121762,0.582449688136369,0.1903921
192,0.665708845906025,0.586330662826146,0.1897302
194,0.669402663700553,0.590024480621821,0.1865865
196,0.672853028049414,0.593474844971614,0.1841399
198,0.676199147247532,0.596820964170457,0.184908
200,0.679464092864559,0.60008590978801,0.1865641
202,0.681508371960984,0.60213018888474,0.1936529
204,0.683083049057011,0.603704865980868,0.1837119
206,0.684626579559517,0.605248396483296,0.1884564
208,0.685787359676172,0.606409176599702,0.1865194
210,0.686475525046412,0.607097341969593,0.1852513
212,0.686921655886343,0.607543472808998,0.1981148
214,0.687272871140349,0.607894688062282,0.1850638
216,0.687523962262604,0.608145779183699,0.18586
218,0.687688673027782,0.608310489947951,0.1918357
220,0.687810941772024,0.608432758691214,0.1919523
222,0.68789964518318,0.608521462101381,0.2051141
224,0.687942904242408,0.608564721159653,0.2051954
226,0.687958382637023,0.608580199553392,0.2239719
228,0.687962532362532,0.608584349278114,0.1968622
230,0.687972766930678,0.608594583845539,0.1898208
232,0.687945310442257,0.608567127356374,0.2113286
234,0.687204169116146,0.607825986029412,0.2047412
236,0.686243807786192,0.606865624698401,0.2216023
238,0.685289934494046,0.605911751404867,0.2085482
240,0.683613514302502,0.604235331216201,0.2094129
242,0.681486320568086,0.602108137484291,0.2066647
244,0.679220654095074,0.599842471013411,0.2174934
246,0.676717819595093,0.597339636515264,0.2060808
248,0.673925987577461,0.594547804499248,0.2181136
250,0.670970942975041,0.591592759898281,0.2101025
252,0.667950437645446,0.588572254570002,0.2013521
254,0.664861307820979,0.585483124746729,0.1963158
256,0.661702606393057,0.582324423319886,0.2057031
258,0.658525550842354,0.579147367770152,0.2141762
260,0.655340113772331,0.575961930701,0.2110812
262,0.652138851497742,0.57276066842719,0.2112538
264,0.648930151182156,0.569551968112303,0.2315322
266,0.645723855312068,0.566345672242844,0.2151132
268,0.642519667036649,0.563141483967988,0.2074728
270,0.639314168660554,0.559935985592399,0.211573
272,0.636108481007995,0.556730297940294,0.2106698
274,0.632904531655542,0.553526348588249,0.2354185
276,0.62970337405577,0.550325190988843,0.1912862
278,0.626502447711584,0.547124264644985,0.1890254
280,0.623271574480139,0.543893391413836,0.1950852
282,0.620032561649656,0.540654378583617,0.1977481
284,0.616784490449016,0.537406307383214,0.2146525
286,0.61352373484008,0.534145551774491,0.2172318
288,0.610247888380219,0.530869705314821,0.2246215
290,0.606992465950219,0.527614282884991,0.1879281
292,0.60420224474796,0.524824061682886,0.2091233
294,0.601564226157607,0.52218604309267,0.2190704
296,0.599112223380336,0.519734040315522,0.2064073
298,0.596957256417729,0.517579073353025,0.2247371
300,0.594906927702362,0.515528744637758,0.2025916
302,0.592902560505479,0.513524377440963,0.2080518
304,0.591284826745935,0.511906643681497,0.2815491
306,0.589832101390527,0.51045391832616,0.2273323
308,0.588530768941681,0.509152585877378,0.2239818
310,0.587436222404709,0.508058039340462,0.1997725
312,0.586421759053364,0.507043575989167,0.1967235
314,0.585446175816687,0.506067992752535,0.1999282
316,0.584524365612354,0.505146182548241,0.2283794
318,0.583654931338366,0.504276748274288,0.2125465
320,0.583155151239168,0.503776968175121,0.2070465
322,0.582803740802517,0.503425557738498,0.1999903
324,0.58264074554554,0.503262562481545,0.207736
326,0.582700427457219,0.503322244393246,0.1921185
328,0.582828466182387,0.503450283118432,0.2069446
330,0.582999531130495,0.503621348066557,0.2049837
332,0.583234587855489,0.503856404791564,0.2240037
334,0.583404592081143,0.504026409017231,0.2040378
336,0.583547768453136,0.504169585389235,0.2181413
338,0.583660486467373,0.50428230340348,0.2083086
340,0.583726454067449,0.504348271003563,0.2230949
342,0.583778701499477,0.504400518435598,0.1875799
344,0.583821683309578,0.504443500245705,0.2124224
346,0.583859190464482,0.504481007400613,0.2103352
348,0.583879843964441,0.504501660900576,0.2270887
350,0.583923588775478,0.504545405711617,0.2226631
352,0.584517378918663,0.505139195854807,0.2454305
354,0.585313142619123,0.505934959555274,0.2032728
356,0.586372109792905,0.506993926729066,0.2204424
358,0.587768170027092,0.508389986963269,0.2011499
360,0.58948565636001,0.510107473296213,0.1992446
362,0.5913437127114,0.511965529647642,0.2013925
364,0.593394285405765,0.514016102342062,0.2218909
366,0.595636421490498,0.516258238426863,0.1997442
368,0.597915007788342,0.518536824724795,0.1896587
370,0.599723818422298,0.520345635358863,0.1970672
372,0.60140652996578,0.522028346902487,0.2132305
374,0.602911582950135,0.523533399887023,0.2092915
376,0.604122912982438,0.524744729919559,0.2061907
378,0.605227101363692,0.525848918301109,0.1920779
380,0.606307584026854,0.526929400964646,0.2014877
382,0.607308454916856,0.527930271855082,0.2151889
384,0.608258667425062,0.528880484363762,0.2186046
386,0.609185632092837,0.52980744903204,0.2048072
388,0.609730821358179,0.530352638297861,0.1892104
390,0.610139302088614,0.530761119028709,0.213019
392,0.610388201796609,0.531010018737032,0.1922947
394,0.609868121028401,0.53048993796903,0.2092197
396,0.609069279596006,0.529691096536718,0.2363242
398,0.608033880176831,0.528655697117521,0.2041884
400,0.606232793899755,0.526854610840343,0.2031289
