time,in1,in2,cal_time
-180,0.498809256621417,0.418509765874989,0.1927969
-178,0.49863781393249,0.418730955009453,0.1870741
-176,0.498331007958841,0.418680545722822,0.1937596
-174,0.498212307797811,0.418703894382221,0.1995114
-172,0.498165379302364,0.418725832084924,0.199521
-170,0.498076961632322,0.418671425031218,0.1892612
-168,0.49803724914171,0.418655176758332,0.1885188
-166,0.498000565016903,0.418641216810136,0.2162798
-164,0.497957446636496,0.418620629033781,0.1917938
-162,0.497938050636398,0.418620815918619,0.2078469
-160,0.497924872246388,0.418622095674761,0.1897173
-158,0.49791522056595,0.418621489257236,0.2490162
-156,0.497912079412503,0.418623179663962,0.2189455
-154,0.497907540668153,0.418620961510233,0.2013971
-152,0.497902397231209,0.418617045362591,0.2162853
-150,0.497898618655636,0.418614213397816,0.1938856
-148,0.497895360079272,0.418611893498873,0.2000407
-146,0.497893594551013,0.418611026879603,0.1936551
-144,0.497893166138894,0.418611344774821,0.1904982
-142,0.497892999009785,0.418611704434665,0.1996021
-140,0.497892831077932,0.418611852597152,0.2045699
-138,0.497892451394082,0.418611636477735,0.1967777
-136,0.497891855595142,0.41861111977106,0.1891379
-134,0.497891347403713,0.418610657331667,0.1900638
-132,0.497891057521883,0.41861040614665,0.1851293
-130,0.497890977393717,0.418610364455379,0.1895718
-128,0.497891036918612,0.41861045903967,0.1909727
-126,0.497891104117872,0.418610553928927,0.1862503
-124,0.49789110546856,0.418610573901479,0.1956945
-122,0.497891044000322,0.418610521907571,0.2021107
-120,0.497890956115561,0.418610440189402,0.1924396
-118,0.497890888426452,0.418610375880125,0.1874953
-116,0.497890863508965,0.418610353263881,0.1919044
-114,0.497890875914315,0.418610367301822,0.1907876
-112,0.497890897096213,0.418610390067022,0.1887924
-110,0.497890911306726,0.418610405447088,0.1901868
-108,0.497890910562358,0.418610405850494,0.2002016
-106,0.497890896183886,0.418610390605483,0.1912352
-104,0.497890885929282,0.418610380933577,0.1917045
-102,0.497890876293762,0.418610372011675,0.2000174
-100,0.497890885808366,0.418610381050452,0.1884879
-98,0.497890889198989,0.418610384197537,0.1910768
-96,0.497890900677442,0.418610395202254,0.197109
-94,0.497890897933798,0.418610392292462,0.2033426
-92,0.497890896366031,0.418610391415293,0.2088162
-90,0.497890893818463,0.41861038793847,0.2306738
-88,0.497890888043213,0.418610383018867,0.1981711
-86,0.497890888575377,0.418610384071478,0.2234344
-84,0.497890888093098,0.418610382954943,0.2042053
-82,0.497890887464468,0.418610382898529,0.1938518
-80,0.497890889785203,0.41861038470771,0.1930638
-78,0.497890887970143,0.418610382549971,0.2028542
-76,0.497890889874308,0.418610384106589,0.1943684
-74,0.497890889664566,0.41861038347458,0.2142989
-72,0.49789089277427,0.418610385973855,0.2160691
-70,0.497890895895971,0.418610388205324,0.2151329
-68,0.497890893559979,0.418610386847225,0.244846
-66,0.49789089777309,0.418610390449952,0.2116752
-64,0.497890891160373,0.418610385109512,0.2040381
-62,0.497890891862362,0.418610386744987,0.2312378
-60,0.497890889422763,0.418610383518977,0.2190485
-58,0.497890888214993,0.418610382740102,0.2352165
-56,0.497890888664328,0.418610383242364,0.1900111
