time,in1,in2,cal_time
-180,0.498459262712334,0.417782074190083,0.2377954
-178,0.498361720038765,0.417783024029792,0.2832668
-176,0.497788110246389,0.417269651592728,0.2500233
-174,0.497648934363693,0.417159125250651,0.2506321
-172,0.497606012022273,0.417125821934189,0.239333
-170,0.497432643690842,0.416954582074707,0.2614265
-168,0.497410063893124,0.41693361337062,0.2469473
-166,0.497372732125943,0.416899678414746,0.2320356
-164,0.49731650089355,0.416848050416835,0.2139898
-162,0.497313915483298,0.416849829800494,0.237234
-160,0.497300522113491,0.416839538636819,0.2736044
-158,0.497289855281284,0.41683049206994,0.2916836
-156,0.497292065989366,0.416833212818374,0.2819948
-154,0.497286395601273,0.416827503920931,0.2617089
-152,0.497282540184768,0.416823507682715,0.2919921
-150,0.497281419301636,0.416822359914149,0.2330654
-148,0.497278658018037,0.416819708313318,0.2231559
-146,0.497278162433973,0.416819386526899,0.2027858
-144,0.497278516305901,0.416819898414623,0.1977838
-142,0.497278326765696,0.416819808230322,0.2447928
-140,0.497278484916852,0.416820005182779,0.2130448
-138,0.497278307209002,0.416819827374048,0.2030541
-136,0.497277878070701,0.416819384472315,0.2150284
-134,0.497277680649761,0.416819176391122,0.2224429
-132,0.497277562510991,0.416819056407886,0.220049
-130,0.497277571090876,0.41681907003564,0.1849463
-128,0.497277682985061,0.416819188349064,0.2184404
-126,0.497277742704075,0.416819254104954,0.2044386
-124,0.497277747289,0.416819261799847,0.2310792
-122,0.497277710015448,0.416819220236221,0.2064655
-120,0.497277659611282,0.416819170606944,0.227324
-118,0.497277622247291,0.416819133995239,0.209845
-116,0.497277623965723,0.416819136503754,0.2179818
-114,0.497277638806866,0.416819150790392,0.2403978
-112,0.497277657440914,0.416819170115482,0.2164095
-110,0.497277670791122,0.416819184221202,0.2192487
-108,0.497277658145437,0.416819171142279,0.191949
-106,0.497277654278072,0.41681916690643,0.2427603
-104,0.497277642513277,0.416819155453174,0.2138312
-102,0.497277643067858,0.416819156427128,0.2095067
