time,regd,power,heatflow,pressure
-180,1,1.00000001447924,1.6866653236463,0
-179.975,1,1.0000000094403,1.6866653575149,-3.53412413223175e-09
-179.95,1,0.999999993353658,1.68666539047237,-8.55601983706933e-09
-179.913749589952,1,0.999999940218949,1.68666543421088,-2.01474059796647e-08
-179.873534060397,1,0.999999802993503,1.68666547191674,-4.01095156810083e-08
-179.824651601831,1,0.99999942339762,1.68666549262748,-7.47930970629307e-08
-179.758731286751,1,0.999998260848512,1.68666545678826,-1.38634375687618e-07
-179.683095663298,1,0.99999549090586,1.68666529493961,-2.33169416649637e-07
-179.616695919249,1,0.999991360783591,1.68666502239822,-3.32109313272433e-07
-179.548681874008,1,0.999985193055055,1.68666459824512,-4.46472196283243e-07
-179.477787577177,1,0.999976558426983,1.68666398513108,-5.77509289029221e-07
-179.402888660725,1,0.999965091875007,1.68666313518693,-7.26932510436429e-07
-179.321407020659,1,0.999950322662394,1.68666196391048,-9.00099514339336e-07
-179.22474367646,1,0.999930838125997,1.68666023163123,-1.11715638929921e-06
-179.128643506551,1,0.999911151977916,1.68665813633901,-1.34290671262305e-06
-179.046318767927,1,0.999895688634938,1.68665604636349,-1.54257120123236e-06
-178.967076182864,1,0.999883383073782,1.68665378088096,-1.73916908992322e-06
-178.887687154594,1,0.999874683179967,1.68665126660673,-1.93967747727508e-06
-178.804606239864,1,0.999870316152312,1.68664838011792,-2.15261908785569e-06
-178.711687770322,1,0.999871652651412,1.6866448529,-2.39382122897702e-06
-178.61488509439,1,0.999879709311632,1.68664085641292,-2.64783333030205e-06
-178.532794373724,1,0.99989088450516,1.6866372219146,-2.86497880251646e-06
-178.455027469978,1,0.999903864998455,1.68663358115698,-3.07187378720264e-06
-178.376403682706,1,0.999917881221828,1.68662971426552,-3.28201063577727e-06
-178.293051587037,1,0.999931975996093,1.68662542127861,-3.50565011773829e-06
-178.197258882218,1,0.999944967302117,1.68662025630208,-3.76355659099936e-06
-178.110393283096,1,0.999952090251554,1.68661537297318,-3.9980861552269e-06
-178.023527683974,1,0.999953820890398,1.68661031327005,-4.23311536679183e-06
-178,1,0.999953323634933,1.68660891418115,-4.29684619843163e-06
-177.965619677468,1,0.999951873975126,1.68660684857494,-4.38775578537332e-06
-177.931239354936,1,0.999949601278725,1.68660475712293,-4.46794425039421e-06
-177.888240824394,1,0.999945688587183,1.68660210146673,-4.54582948077042e-06
-177.837995885986,1,0.999939799000769,1.68659893471419,-4.60219641949811e-06
-177.774741326954,1,0.999930807293169,1.68659483696971,-4.62188018630905e-06
-177.697779772985,1,0.999918430204079,1.68658966282364,-4.57723907439089e-06
-177.620818219016,1,0.999905709279313,1.68658426096009,-4.46877787037281e-06
-177.548466481262,1,0.999894552582443,1.68657896103646,-4.31840931801319e-06
-177.477555301667,1,0.999885238245002,1.68657355018183,-4.13311241281855e-06
-177.406348499856,1,0.999878120642799,1.68656789705834,-3.91544043079617e-06
-177.332820946372,1,0.999873514284472,1.68656182750549,-3.66290173967054e-06
-177.25372096538,1,0.999871811910399,1.68655503635639,-3.36506995170238e-06
-177.159609976311,1,0.999873933405337,1.68654660992473,-2.98194189549128e-06
-177.067976168378,1,0.999879639148774,1.68653805480264,-2.5847888162206e-06
-176.990341776864,1,0.999886549500961,1.68653054705495,-2.23337608318275e-06
-176.916344353283,1,0.999894257155695,1.68652317932881,-1.88802175386804e-06
-176.841600526161,1,0.999902546868325,1.68651553762259,-1.5306482157168e-06
-176.763354590678,1,0.999911144702514,1.68650733444392,-1.14892188914084e-06
-176.675741329343,1,0.999919939240171,1.68649791779065,-7.13934982840558e-07
-176.584823841171,1,0.999927357539961,1.68648790652587,-2.55719943817456e-07
-176.493906352999,1,0.999932329232737,1.68647767201296,2.08047737926265e-07
-176.417316849716,1,0.999934205163632,1.68646889260885,6.02200711130596e-07
-176.342841955324,1,0.999933779779146,1.68646022990828,9.87958203038652e-07
-176.266636374238,1,0.999930979225319,1.68645124966548,1.38478041536438e-06
-176.185041306866,1,0.999925448886231,1.68644151762405,1.81160826802362e-06
-176.088429137801,1,0.999916050807066,1.68642985807285,2.31909299941435e-06
-176,1,0.999905654875323,1.68641907561883,2.78519386513743e-06
-175.968351444794,1,0.999901746225747,1.68641519440641,2.95211580227106e-06
-175.936702889587,1,0.99989783396745,1.68641130180699,3.11819669054914e-06
-175.897409942323,1,0.999893055531587,1.68640645129002,3.32249846234089e-06
-175.852202004413,1,0.999887775903466,1.68640084232377,3.5545845669116e-06
-175.796843758247,1,0.999881782936098,1.68639392548642,3.83446069171511e-06
-175.720360171113,1,0.999874618171293,1.68638426643048,4.21400929391524e-06
-175.635661772529,1,0.999868466467707,1.68637341209957,4.62607384613123e-06
-175.561501159777,1,0.999864712679357,1.68636376010026,4.98097960026367e-06
-175.489455437199,1,0.999862447882253,1.6863542450835,5.32141336828662e-06
-175.418203269561,1,0.999861330855121,1.68634469891459,5.65457778799183e-06
-175.346932876532,1,0.999860999275802,1.68633501574537,5.98489897042642e-06
-175.273106385881,1,0.999861048607383,1.68632484636063,6.32448791061668e-06
-175.192688051324,1,0.999861004271621,1.6863136138995,6.69192239184657e-06
-175.091647636752,1,0.999860001459265,1.68629928474212,7.15061819181462e-06
-174.997240805001,1,0.999857573172825,1.6862856955107,7.57682922468417e-06
-174.921384113945,1,0.999854526230455,1.68627464891828,7.91797164965968e-06
-174.849307448036,1,0.999850931161372,1.68626405786249,8.2412237594337e-06
-174.776327811573,1,0.999846950776003,1.68625324966378,8.56778991747964e-06
