time,regd,power,heatflow,pressure
-180,1,1.00000001447924,1.6866653236463,0
-179.975,1,1.0000000094403,1.6866653575149,-3.53412413223175e-09
-179.95,1,0.999999993353658,1.68666539047237,-8.55601987870269e-09
-179.913749589889,1,0.999999940218949,1.68666543421088,-2.01474062017093e-08
-179.873534060304,1,0.999999802993502,1.68666547191674,-4.01095162777532e-08
-179.824651601696,1,0.999999423397617,1.68666549262748,-7.47930983674427e-08
-179.758731286567,1,0.999998260848501,1.68666545678826,-1.38634378366032e-07
-179.683095663125,1,0.999995490905833,1.68666529493961,-2.33169421340329e-07
-179.61669591894,1,0.999991360783531,1.68666502239822,-3.32109320322349e-07
-179.548681873952,1,0.999985193054986,1.68666459824512,-4.4647220540095e-07
-179.477787577153,1,0.999976558426879,1.68666398513109,-5.77509300922485e-07
-179.402888660839,1,0.999965091874877,1.68666313518693,-7.2693252529954e-07
-179.321407020826,1,0.999950322662214,1.68666196391049,-9.00099532838428e-07
-179.224743677508,1,0.999930838125923,1.68666023163126,-1.11715641049059e-06
-179.128643507508,1,0.99991115197774,1.68665813633904,-1.34290673887982e-06
-179.04631876893,1,0.999895688634687,1.68665604636352,-1.5425712316941e-06
-178.96707618398,1,0.999883383073464,1.68665378088101,-1.73916912438177e-06
-178.887687155718,1,0.999874683179563,1.68665126660678,-1.93967751607738e-06
-178.804606241336,1,0.999870316151835,1.68664838011798,-2.15261913041886e-06
-178.711687771024,1,0.999871652650877,1.68664485290004,-2.39382127882604e-06
-178.614885094441,1,0.999879709311157,1.68664085641294,-2.64783338746466e-06
-178.532794373679,1,0.999890884504737,1.68663722191462,-2.86497886471671e-06
-178.455027470002,1,0.999903864998065,1.68663358115701,-3.07187385378827e-06
-178.376403682742,1,0.999917881221484,1.68662971426555,-3.28201070697032e-06
-178.293051587257,1,0.999931975995767,1.68662542127865,-3.50565019335836e-06
-178.197258882838,1,0.999944967301801,1.68662025630215,-3.76355667122685e-06
-178.110393283583,1,0.999952090251304,1.68661537297324,-3.99808624099163e-06
-178.023527684327,1,0.999953820890185,1.68661031327012,-4.23311545809379e-06
-178,1,0.999953323634714,1.68660891418119,-4.29684629210669e-06
-177.965619678666,1,0.999951873974969,1.68660684857506,-4.38775587807694e-06
-177.931239357333,1,0.999949601278682,1.68660475712312,-4.46794434312558e-06
-177.888240827004,1,0.999945688587213,1.68660210146694,-4.54582957730432e-06
-177.837995889078,1,0.999939799000909,1.68659893471444,-4.60219652075045e-06
-177.774741331064,1,0.999930807293508,1.68659483697004,-4.62188029440314e-06
-177.697779776809,1,0.999918430204381,1.68658966282396,-4.57723919095043e-06
-177.620818222554,1,0.999905709279507,1.6865842609604,-4.46877799442635e-06
-177.548466484967,1,0.999894552582555,1.6865789610368,-4.31840944943584e-06
-177.477555305325,1,0.999885238244967,1.68657355018219,-4.13311255076376e-06
-177.406348503505,1,0.999878120642603,1.68656789705871,-3.91544057512516e-06
-177.332820950064,1,0.999873514284109,1.68656182750588,-3.66290189057761e-06
-177.253720969633,1,0.999871811909866,1.68655503635685,-3.36507011151899e-06
-177.159609982046,1,0.999873933404547,1.68654660992535,-2.98194206950486e-06
-177.067976172895,1,0.999879639147902,1.68653805480318,-2.58478899270442e-06
-176.990341780941,1,0.99988654950007,1.68653054705546,-2.23337626391318e-06
-176.916344357435,1,0.999894257154786,1.68652317932934,-1.88802194080184e-06
-176.841600530496,1,0.999902546867422,1.68651553762316,-1.53064840936745e-06
-176.763354595346,1,0.999911144701636,1.68650733444453,-1.14892209047979e-06
-176.675741335052,1,0.999919939239303,1.68649791779141,-7.13935196114401e-07
-176.584823848977,1,0.999927357539112,1.68648790652688,-2.5572017471609e-07
-176.493906362903,1,0.999932329232061,1.68647767201424,2.08047489236307e-07
-176.417316859177,1,0.999934205163255,1.6864688926101,6.02200458776903e-07
-176.342841965099,1,0.999933779779058,1.68646022990959,9.87957943371365e-07
-176.266636384468,1,0.99993097922554,1.68645124966686,1.38478014753696e-06
-176.185041318033,1,0.999925448886811,1.68644151762556,1.81160798910784e-06
-176.088429153282,1,0.999916050808384,1.68642985807491,2.31909269052255e-06
-176,1,0.999905654874896,1.68641907561902,2.78519363128282e-06
-175.968351444876,1,0.999901746225315,1.68641519440661,2.95211556566866e-06
-175.936702889751,1,0.999897833967015,1.68641130180721,3.11819645117117e-06
-175.897409942468,1,0.999893055531134,1.68640645129024,3.3224982200486e-06
-175.852202004575,1,0.999887775902996,1.68640084232399,3.55458432090006e-06
-175.796843758508,1,0.99988178293562,1.68639392548666,3.83446044052715e-06
-175.720360171119,1,0.999874618170768,1.6863842664307,4.21400903716229e-06
-175.635661772496,1,0.999868466467161,1.68637341209979,4.62607358156508e-06
-175.561501159748,1,0.999864712678799,1.68636376010049,4.98097932835617e-06
-175.489455437081,1,0.999862447881682,1.68635424508372,5.32141308946799e-06
-175.418203269399,1,0.99986133085454,1.68634469891482,5.65457750194287e-06
-175.346932876375,1,0.999860999275211,1.6863350157456,5.98489867677243e-06
-175.273106385814,1,0.99986104860678,1.68632484636088,6.32448760856663e-06
-175.19268805106,1,0.999861004271003,1.68631361389974,6.6919220818723e-06
-175.091647635648,1,0.99986000145861,1.68629928474224,7.15061787440185e-06
-174.997240804148,1,0.999857573172144,1.68628569551087,7.57682889550304e-06
-174.921384113142,1,0.999854526229755,1.68627464891846,7.91797131163841e-06
-174.849307447248,1,0.999850931160656,1.68626405786268,8.24122341312739e-06
-174.77632781079,1,0.999846950775277,1.68625324966398,8.56778956279114e-06
-174.699256765681,1,0.999842872217407,1.68624175429673,8.91199582654656e-06
