time,regd,power,in1,in2,heatflow,pressure
-180,1,1.00000001447924,0.499278,0.41847,1.6866653236463,0
-179.9,1,0.999999935829746,0.499278,0.41847,1.68666545717163,-1.29926619324428e-08
-179.8,1,0.99999971323054,0.499278,0.41847,1.68666558512825,-2.61212497743024e-08
-179.645042291992,1,0.999999170283974,0.499278,0.41847,1.68666577287565,-4.67095739031809e-08
-179.457969084566,1,0.999998450772623,0.499278,0.41847,1.68666598327254,-7.18521167841768e-08
-179.195252636257,1,0.999997981840616,0.499278,0.41847,1.68666625032189,-1.07445536551287e-07
-179.094722463226,1,0.999998080717011,0.499278,0.41847,1.68666634406266,-1.21183594450902e-07
-178.994192290195,1,0.999998327376622,0.499278,0.41847,1.68666643331574,-1.34913642993451e-07
-178.830928399953,1,0.999998933528095,0.499278,0.41847,1.68666656891686,-1.57238086981315e-07
-178.655782921148,1,0.999999598549025,0.499278,0.41847,1.68666670190838,-1.81222128067815e-07
-178.478803357898,1,0.999999958769415,0.499278,0.41847,1.686666823656,-2.05481302611998e-07
-178.290824053186,1,0.999999807161346,0.499278,0.41847,1.68666693962069,-2.31262994199177e-07
-178.087708138917,1,0.99999915709491,0.499278,0.41847,1.68666705016216,-2.59120487774989e-07
-178,1,0.999998826894919,0.499278,0.41847,1.68666709332975,-2.71177588440086e-07
-177.86369322565,1,0.999998389726003,0.499278,0.41847,1.68666715518588,-2.89892191571162e-07
-177.693648186952,1,0.999998134161587,0.499278,0.41847,1.68666722373421,-3.13237953450396e-07
-177.518356362294,1,0.999998287551995,0.499278,0.41847,1.68666728484757,-3.37305714984137e-07
-177.34133826369,1,0.999998762841638,0.499278,0.41847,1.68666733724807,-3.61611372928783e-07
-177.134553382896,1,0.999999394211267,0.499278,0.41847,1.68666738732599,-3.89995195915205e-07
-177.002061888058,1,0.999999665164029,0.499278,0.41847,1.68666741346543,-4.08199977708357e-07
-176.869570393221,1,0.999999751824018,0.499278,0.41847,1.68666743523617,-4.26397463476613e-07
-176.699924484991,1,0.9999995792215,0.499278,0.41847,1.68666745708193,-4.49693854098765e-07
-176.522668575659,1,0.999999152212375,0.499278,0.41847,1.68666747313019,-4.74034821770775e-07
-176.350041862779,1,0.999998679300742,0.499278,0.41847,1.68666748258223,-4.97740311120043e-07
-176.166154020071,1,0.999998342127095,0.499278,0.41847,1.68666748647151,-5.22990008480773e-07
-176,1,0.999998322669081,0.499278,0.41847,1.6866674849451,-5.45807316620905e-07
-175.81931726915,1,0.999998622454506,0.499278,0.41847,1.68666747832974,-5.70615204961711e-07
-175.653755481671,1,0.999999069053789,0.499278,0.41847,1.68666746813387,-5.93351330013814e-07
-175.512037601559,1,0.999999433645427,0.499278,0.41847,1.68666745654631,-6.12819874304393e-07
-175.369693047568,1,0.999999656332455,0.499278,0.41847,1.68666744249073,-6.32370503753088e-07
-175.203634637845,1,0.999999640317848,0.499278,0.41847,1.68666742331687,-6.55174895350386e-07
-175.002828960289,1,0.999999255836899,0.499278,0.41847,1.68666739658228,-6.8274611420005e-07
-174.848665835763,1,0.99999884335244,0.499278,0.41847,1.68666737373986,-7.03919427261224e-07
-174.694502711237,1,0.999998506762845,0.499278,0.41847,1.68666734914936,-7.25091921588428e-07
-174.522541764861,1,0.999998372177947,0.499278,0.41847,1.68666731993481,-7.48706116632247e-07
-174.347761022338,1,0.999998538066623,0.499278,0.41847,1.68666728860635,-7.72706786805744e-07
-174.177904492312,1,0.999998896221585,0.499278,0.41847,1.68666725685849,-7.96031835753608e-07
-174,1,0.999999290187733,0.499278,0.41847,1.68666722251085,-8.20459347961044e-07
-173.832078256784,1,0.999999514024445,0.499278,0.41847,1.68666718930122,-8.43518669482735e-07
-173.681321194194,1,0.999999522273594,0.499278,0.41847,1.68666715901122,-8.64226563146442e-07
-173.53572096569,1,0.999999364463061,0.499278,0.41847,1.68666712947513,-8.84224962305336e-07
-173.379664350003,1,0.999999080340279,0.499278,0.41847,1.68666709765066,-9.05656813876554e-07
-173.20988078202,1,0.99999875517951,0.499278,0.41847,1.68666706298852,-9.28972445926601e-07
-173.025521647143,1,0.99999853209145,0.499278,0.41847,1.686667025493,-9.54287564330913e-07
-172.823905731072,1,0.999998558686339,0.499278,0.41847,1.68666698488276,-9.81962306856321e-07
-172.69184386845,1,0.999998726962166,0.499278,0.41847,1.68666695859788,-1.00011066793415e-06
-172.559782005829,1,0.999998967949054,0.499278,0.41847,1.68666693264487,-1.01825020336344e-06
-172.387602393212,1,0.999999284151198,0.499278,0.41847,1.68666689938911,-1.04189482291739e-06
-172.197124256099,1,0.999999475706584,0.499278,0.41847,1.68666686348018,-1.06804989379039e-06
-172.018001383194,1,0.999999408609169,0.499278,0.41847,1.68666683066413,-1.09264530047393e-06
-172,1,0.999999388759068,0.499278,0.41847,1.68666682741947,-1.09511984604238e-06
-171.909993084032,1,0.999999261010564,0.499278,0.41847,1.68666681135717,-1.10748492493373e-06
-171.718670463636,1,0.999998905735247,0.499278,0.41847,1.68666677812463,-1.13375731392029e-06
-171.48640288001,1,0.999998581874125,0.499278,0.41847,1.68666673954023,-1.16563451053875e-06
-171.363722331485,1,0.999998551704241,0.499278,0.41847,1.68666671995957,-1.18249915116719e-06
-171.241041782961,1,0.999998631713118,0.499278,0.41847,1.68666670096781,-1.1993505219382e-06
-171.068954248438,1,0.999998878720577,0.499278,0.41847,1.68666667533357,-1.22298262777987e-06
-170.863935988324,1,0.999999212887184,0.499278,0.41847,1.68666664635608,-1.25113316672143e-06
-170.702597853441,1,0.999999371133343,0.499278,0.41847,1.68666662476104,-1.27329017583777e-06
-170.541259718558,1,0.999999374127585,0.499278,0.41847,1.68666660424154,-1.29544707859475e-06
-170.367733354981,1,0.999999218123104,0.499278,0.41847,1.6866665833765,-1.31927563570833e-06
-170.199066462364,1,0.999998983913862,0.499278,0.41847,1.68666656428813,-1.34243757475561e-06
-170.040826128342,1,0.999998779857478,0.499278,0.41847,1.68666654744066,-1.36416987513155e-06
-170,1,0.999998739294224,0.499278,0.41847,1.68666654325839,-1.36977919532044e-06
-169.795869358292,1,0.999998653028846,0.499278,0.41847,1.68666652336607,-1.39780603443385e-06
-169.642461928945,1,0.999998727777852,0.499278,0.41847,1.68666650950471,-1.41887609041158e-06
-169.489054499598,1,0.999998895993257,0.499278,0.41847,1.68666649656285,-1.43994509672896e-06
-169.311337893336,1,0.999999130213019,0.499278,0.41847,1.68666648269638,-1.46434865841427e-06
-169.130502384661,1,0.999999303259419,0.499278,0.41847,1.68666646979372,-1.48917852368924e-06
-168.970426409401,1,0.999999330391923,0.499278,0.41847,1.68666645935451,-1.51116304511478e-06
-168.822081575809,1,0.999999236140489,0.499278,0.41847,1.68666645047948,-1.5315384727238e-06
-168.663270394949,1,0.999999045607911,0.499278,0.41847,1.68666644180557,-1.55334854397282e-06
-168.478428996554,1,0.999998809906004,0.499278,0.41847,1.68666643274802,-1.57872928725766e-06
-168.285484018171,1,0.999998681126021,0.499278,0.41847,1.68666642443468,-1.60521581883677e-06
-168.126080177142,1,0.999998719472274,0.499278,0.41847,1.6866664183963,-1.62710966784829e-06
-168,1,0.999998832041693,0.499278,0.41847,1.68666641412849,-1.64443394970459e-06
-167.855200933358,1,0.999999006838703,0.499278,0.41847,1.68666640976699,-1.66432066768529e-06
-167.667675647552,1,0.999999208725839,0.499278,0.41847,1.68666640493047,-1.69007130217114e-06
-167.446324045778,1,0.999999281585086,0.499278,0.41847,1.68666640033572,-1.72045127028175e-06
-167.320805378558,1,0.999999226385756,0.499278,0.41847,1.68666639821573,-1.73770445953403e-06
-167.195286711338,1,0.999999119517908,0.499278,0.41847,1.68666639644298,-1.75494559141731e-06
-167.024086812489,1,0.999998943004101,0.499278,0.41847,1.68666639454799,-1.77845581747493e-06
-166.823943964664,1,0.999998786247864,0.499278,0.41847,1.68666639304491,-1.80593739253221e-06
-166.629324502951,1,0.999998759036247,0.499278,0.41847,1.6866663922629,-1.8326548796993e-06
-166.463533915545,1,0.999998840693762,0.499278,0.41847,1.68666639207523,-1.85542231223579e-06
