time,regd,power,heatflow,pressure,in1,in2
-60,1,0,0,0.6088,-0.00107338862400785,0.00268622916137985
-59.9762882457005,1,9.76864314551951e-13,7.13614096058612e-05,0.605543740430877,-0.0016355208433882,0.00409393972834132
-59.952576491401,1,3.12596585059442e-11,0.000285427232786934,0.602287640016688,-0.00221673608044746,0.00554987039178873
-59.9267272894605,1,2.75249861044908e-10,0.00068130371171784,0.598738389948543,-0.00287157224391658,0.00719075727370151
-59.9001361251988,1,1.29436835366505e-09,0.0012653090399191,0.595087864742704,-0.00356775704277922,0.00893589879314063
-59.8727330054215,1,4.35105690078378e-09,0.00205450867266594,0.591326730827684,-0.00430854393423719,0.0107936005781216
-59.8444961332454,1,1.18500937021411e-08,0.00306638108585945,0.587452312606257,-0.00509605310776914,0.0127693604236547
-59.8153725908044,1,2.79573947405649e-08,0.00432087254229695,0.583457710438212,-0.00593338537775533,0.0148711751509722
-59.7852645589894,1,5.95023973299627e-08,0.00584233741479338,0.579329926180657,-0.00682517892450227,0.0171109528799647
-59.7540032186849,1,1.1739860728135e-07,0.00766299289292508,0.575046313570243,-0.00777862661498211,0.0195070923935428
-59.7213007592315,1,2.19126422945794e-07,0.0098293663797949,0.570568055828937,-0.00880534522667517,0.0220892239852823
-59.6866425739924,1,3.93745657413644e-07,0.012416297902712,0.56582551145533,-0.00992550675835697,0.0249086842141017
-59.6504462610048,1,6.80120054293411e-07,0.0154361859823243,0.560876793130251,-0.0111299094295624,0.0279430604122623
-59.6148641922476,1,1.10429553198119e-06,0.0187199050402188,0.556016756883291,-0.0123476959132685,0.0310143845325938
-59.5794464483348,1,1.71444021976959e-06,0.0222967594494375,0.551184203175618,-0.0135927299039218,0.034157994735685
-59.5437641658086,1,2.57610041102976e-06,0.0262092548801411,0.546321036102695,-0.0148799294555034,0.037412088097408
-59.507202083625,1,3.78756535816772e-06,0.0305374343716208,0.541344076509574,-0.016232917459189,0.0408371564872405
-59.4670305013893,1,5.60438030829439e-06,0.0356622277060918,0.535883403660951,-0.0177591942872072,0.044706964118451
-59.4244692395407,1,8.22921716229922e-06,0.0415095725045926,0.53010718019615,-0.0194218553315199,0.0489303002525152
-59.3815061234941,1,1.17948614083928e-05,0.0478430166300769,0.524286732574875,-0.0211483154722387,0.0533247039299419
-59.3377576123676,1,1.6599717439972e-05,0.0547314134370607,0.518371179883431,-0.0229568777765091,0.0579384486565237
-59.2927702436282,1,2.30578307449988e-05,0.062270486769156,0.512300684989358,-0.0248711473966993,0.0628339691128324
-59.2460041926464,1,3.17585361349227e-05,0.0705896327020367,0.506004441958533,-0.0269215388219191,0.068092024773914
-59.1966501118251,1,4.36053231284384e-05,0.0798925333164159,0.499376390933836,-0.0291548646092879,0.0738368361810477
-59.1431732852069,1,6.01839676299468e-05,0.0905667697704184,0.492214995783828,-0.0316591888627499,0.0803013636548596
-59.0881291166373,1,8.21641873777514e-05,0.10218412446969,0.4848669980045,-0.0343339286144822,0.0872329501633196
-59.0316837390809,1,0.00011094352135836,0.114743371638117,0.47735783708417,-0.0371857228243345,0.094654904902978
-58.9729647256047,1,0.000148916431829654,0.128481831932845,0.469575557135372,-0.0402780533979138,0.102740072191036
-58.920544503012,1,0.000191002711496914,0.141307768189976,0.462654711133479,-0.04315511723337,0.11029724527667
-58.8710780417733,1,0.000238965619955435,0.153879972458778,0.456148028562576,-0.0459783197315961,0.117745384249259
-58.82257114047,1,0.000294909799251734,0.166635215550017,0.449791434745463,-0.048856088670229,0.125370118717003
-58.7739574013924,1,0.000361030273959628,0.179827199060487,0.443445631114814,-0.0518563992602509,0.133353935939934
-58.7243064393596,1,0.000440298938020126,0.193706223498681,0.436991219809481,-0.0550492144267862,0.141887593474079
-58.6724257947365,1,0.000537415080079179,0.208627181810692,0.430277240280214,-0.0585340351728007,0.15124452003228
-58.6161355533407,1,0.000661429530319113,0.22527599582173,0.423029362655781,-0.0624996357862102,0.161944534901294
-58.5485628020458,1,0.000839473646668382,0.245854816293331,0.414382156222412,-0.067534593451394,0.175605794459177
-58.4800410383167,1,0.00105724376553849,0.267333903957249,0.40567677641262,-0.0729730007255651,0.190451061876604
-58.4219441994176,1,0.00127534475646574,0.28598620311138,0.398349001885186,-0.0778690543700974,0.203889636273819
-58.3681263492734,1,0.00150816365846648,0.303593233980569,0.391607151023212,-0.0826558819689728,0.217091234375743
-58.3150623144026,1,0.00176984421512662,0.321233879621687,0.385005739235747,-0.0876284651557538,0.230866453059785
-58.2613425482145,1,0.00207055109667931,0.339346300744346,0.378371915932996,-0.0929345176423836,0.245629711634152
-58.2058370773669,1,0.00242284264213582,0.358296315106319,0.371572548904249,-0.0987223177792211,0.261803778313423
-58.1470476970858,1,0.00284666933052004,0.378589780636284,0.364435539457769,-0.105211931642362,0.280020248016669
-58.0820059076612,1,0.00338261170293821,0.401256785061583,0.356622063909255,-0.112849739824978,0.301561497070154
-58,1,0.00417028561499688,0.430066970347565,0.346903813337162,-0.119110965543604,0.320681149996449
-57.9673501128842,1,0.00452198086977531,0.441583793633105,0.343078405023853,-0.12033158926876,0.325231734988618
-57.9347002257684,1,0.00489701290412052,0.453114959596127,0.339277869018029,-0.121459277767248,0.329623442886605
-57.8997339627175,1,0.00532582497687779,0.465471240189353,0.335234535202396,-0.122564907312724,0.334155511136752
-57.8632348211926,1,0.00580493996432492,0.478367038112384,0.331042731058842,-0.123607333630705,0.338702592795441
-57.8251481919483,1,0.0063409988546192,0.491810301692864,0.326699056500348,-0.124574284385757,0.343252868043023
