time,in1,in2,cal_time
-30,0.499303374429132,0.418415304497487,7.9094956
-28,0.499072692487986,0.418970677255393,0.4011225
-26,0.499354393933635,0.418282552663981,0.3201904
-24,0.499474204513216,0.418005575590948,1.0699463
-22,0.499075710855974,0.419124266239633,0.6747671
-20,0.49907140579603,0.41913888468674,0.345758
-18,0.499486019007015,0.417804816191676,5.3223327
-16,0.499244754548611,0.418349127455521,0.3940739
-14,0.499243800192018,0.418403941064135,0.8165357
-12,0.499032664922724,0.419012341309905,0.3482785
-10,0.499402792482518,0.418059415857538,1.4576942
-8,0.499426602064917,0.41798240341516,0.6254058
-6,0.499412904714123,0.417999357341793,0.6115947
-4,0.499478873320482,0.417830158989591,2.297453
-2,0.499527088923476,0.41774305951852,2.086637
0,0.499494684731063,0.417827869355223,0.9200049
2,0.499393578815299,0.41809880185845,1.6511451
4,0.498166077938332,0.414366948538743,4.3016682
6,0.490921843088849,0.429059564951537,2.9498331
8,0.496403114855166,0.392336676069896,2.2937926
10,0.4862231221664,0.40708869348381,0.8437906
12,0.482013202745813,0.397199905779109,7.2498276
14,0.477044387383396,0.394370779434382,4.3791854
16,0.472128295013596,0.389457803855553,3.1191238
18,0.467071148240672,0.384400282998529,4.6656825
20,0.461752539879955,0.379084183440799,3.6802889
22,0.456619244728778,0.373949400393673,1.8008446
24,0.452208856793719,0.369601857142111,0.4534056
26,0.449134618948875,0.365760536617085,0.4568033
28,0.443601469392585,0.366206013984676,3.5731969
30,0.442366768228585,0.351508907282517,1.0114324
32,0.436666996624746,0.352122666309561,0.4062077
34,0.432580385550691,0.35348938285563,0.3365891
36,0.432562309450426,0.351511649235223,1.0061288
38,0.431166900138681,0.347140805271595,4.3794817
40,0.428150182806967,0.346203299462352,1.4628748
42,0.425711703427072,0.34216849255345,0.4666528
44,0.422710626070337,0.345332302676636,0.6346351
46,0.423585846442275,0.34081737659192,0.333062
48,0.423546400291215,0.340853341866104,1.4354442
50,0.423478370474227,0.340966783873312,1.7730624
52,0.423419427187371,0.341067030325449,2.2774593
54,0.423529348686326,0.34077044574794,1.2628321
56,0.423412647949726,0.341000263645238,1.3792163
58,0.425470173940459,0.345209026257349,4.7695652
60,0.42586155921357,0.344757192402557,2.5218776
62,0.426572534995408,0.350618386394191,0.4000447
64,0.429129944422522,0.354416795837737,6.3097445
66,0.433329055417266,0.358679743753528,0.511403
68,0.440561061571762,0.349062087402124,1.2113994
70,0.436777466499183,0.367558899939488,0.4288771
72,0.442523311841647,0.359633178070809,3.6421649
74,0.445921351370597,0.364427466627623,8.5561672
76,0.449505919637699,0.368944663461216,0.3240851
78,0.453804837913298,0.373455359714288,5.587684
80,0.456797238573024,0.377913892049224,1.0185978
82,0.460064980499297,0.382060582260986,3.7022659
84,0.465279615378343,0.376316412888043,7.0749658
86,0.463321005557573,0.396141834401368,3.6866285
88,0.471715583675042,0.381450457729093,1.9125037
90,0.470304134658886,0.397189676527475,1.3911442
92,0.473924144269633,0.392869508339277,0.95262
94,0.474197063692343,0.392471610375477,1.4355519
96,0.474525698019563,0.392016169992191,0.6168925
98,0.474399701206431,0.39215463248831,2.9454015
100,0.477604682712183,0.396290009748427,10.7760364
102,0.481689190903695,0.400053945690596,2.4707511
104,0.48358849256301,0.419874907340333,3.9785931
106,0.495529878054876,0.396538239130959,0.7392134
108,0.491933171427607,0.423062168534976,0.4515805
110,0.49603909974655,0.416242392100542,0.7242567
112,0.497310794454332,0.420141672138488,1.7116495
114,0.497571275953594,0.419616687079754,1.1169032
116,0.501678754266916,0.408158350920004,6.5227924
118,0.502624292871476,0.41309604942451,0.6403491
120,0.504892731672042,0.431874568628479,4.9740579
122,0.509915958786432,0.449280992476809,2.6630998
124,0.524245212103935,0.429592367913712,0.5125902
126,0.523600683551226,0.450120262480613,1.717332
128,0.526716048160216,0.447397509100722,1.334863
130,0.528577801274183,0.447913778300745,2.0294751
132,0.528808452246583,0.447671603706591,3.8151259
134,0.528796257818162,0.447855659717916,1.7301483
136,0.528917422016267,0.447546045138382,2.9159783
138,0.53257279053426,0.452268802638087,5.6318598
140,0.535703638094045,0.456728020081481,1.4393805
142,0.540035332938222,0.461285876414701,0.3612193
144,0.542698284092301,0.465598158671995,0.3521662
146,0.544564360827306,0.465015989604041,1.4034015
148,0.54522730467009,0.464669390457548,0.3372521
150,0.549520561379764,0.474291813088213,3.525379
152,0.552864450060991,0.483911464624621,3.2723985
154,0.56000462510389,0.481957238209976,0.4099395
156,0.564168154908232,0.486275886705651,1.5275822
158,0.567937732465102,0.502673782371414,6.2757627
160,0.575147164054367,0.49466819395431,4.0106996
162,0.580948170236375,0.500468133143087,4.0718587
164,0.586772455899255,0.501602255644219,4.5863396
166,0.590772283795265,0.520706836707159,5.64993
168,0.597226300652361,0.517637335639921,4.1826871
170,0.603138879063213,0.523543851721363,4.0190094
172,0.608521934263135,0.528926621509705,3.5181042
174,0.613759967458979,0.534165239593958,3.1508421
176,0.619199239778956,0.539604294690193,3.1617616
178,0.624623137841072,0.54503035760319,3.2446766
180,0.629758440146467,0.550167593190502,3.1856588
182,0.634842969102213,0.555251878254594,4.9321365
184,0.639691143450874,0.560097680389846,4.6125581
186,0.644333718771804,0.564740591475111,4.1904629
